greek_830_title;The City of Adrianopolis;La ville d'Adrianopolis;Die Stadt von Adrianopolis;Miasto Adrianopolis;La Ciudad de Adrianópolis;La città di Adrianopoli;A City of Adrianopolis;Mesto Adrianopolis;A City of Adrianopolis;De stad Adrianopolis;A Cidade de Adrianópolis;????? ????????????;Kaupunki Adrianopolis;x
arab_nyc_title;Jadid al-Makkah;Jadid al-Makkah;Jadid al-Makkah;Jadid al-Mekka;Jadid al-Makkah;Jadid al-Makkah;Jadid al-Mekka;Jadid al-Makkah;Jadid al-Mekka;Jadid al-Makkah;Jadid al-Makkah;???? ???-?????;Jadid al-Makkah;x
arab_nyc_desc;The main city in New England is under our control. Shouldn't it have the correct name?;La ville principale de la Nouvelle-Angleterre est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von New England steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Nowej Anglii jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal en Nueva Inglaterra está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale di New England è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Nové Anglii je pod naší kontrolou. By to nemelo mít správný název?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in New England is onder onze controle. Mocht het niet de juiste naam?;A principal cidade da Nova Inglaterra está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ????? ?????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki New England on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
french_neworleans_title;The Ville of Nouvelle-Orléans;La Ville de Nouvelle-Orléans;Die Ville von Nouvelle-Orléans;Ville Nouvelle-Orléans;La Ciudad de Nouvelle-Orléans;La Ville di Nouvelle-Orléans;A Ville Nouvelle-Orléans;Ville z Nouvelle-Orléans;A Ville Nouvelle-Orléans;De Ville Nouvelle-Orléans;A Cidade de Nouvelle-Orléans;???? ?? ????????-???é???;Ville Nouvelle-Orléans;x
french_neworleans_desc;The main city in Louisiana is under our control. Shouldn't it have the correct name?;La principale ville de Louisiane est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von Louisiana steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Luizjanie jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal de Louisiana está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale della Louisiana è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Louisiane je pod naší kontrolou. By to nemelo mít správný název?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in Louisiana is onder onze controle. Mocht het niet de juiste naam?;A cidade principal em Louisiana está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ???????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki Louisiana on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
german_neworleans_title;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;Neumünich Stadt;???????? ?????;Neumünich Stadt;x
german_neworleans_desc;The main city in Louisiana is under our control. Shouldn't it have the correct name?;La principale ville de Louisiane est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von Louisiana steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Luizjanie jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal de Louisiana está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale della Louisiana è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Louisiane je pod naší kontrolou. By to nemelo mít správný název?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in Louisiana is onder onze controle. Mocht het niet de juiste naam?;A cidade principal em Louisiana está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ???????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki Louisiana on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
dutch_neworleans_title;Nieuw Antwerp Plaats;Nieuw Anvers Plaats;Nieuw Antwerpen Plaats;Nieuw Antwerpen Plaats;Nieuw Amberes Plaats;Nieuw Anversa Plaats;Nieuw Antwerpen Plaats;Nieuw Antwerp Plaats;Nieuw Antwerpen Plaats;Nieuw Antwerpen Plaats;Nieuw Antuérpia;?? ????????? ??????;Nieuw Antwerpen Plaats;x
dutch_neworleans_desc;The main city in Louisiana is under our control. Shouldn't it have the correct name?;La principale ville de Louisiane est sous notre contrôle. Ne devrait-elle pas avoir le nom correct?;Die Hauptstadt von Louisiana steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Luizjanie jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal de Louisiana está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale della Louisiana è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Louisiane je pod naší kontrolou. By to nemelo mít správný název?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in Louisiana is onder onze controle. Mocht het niet de juiste naam?;A cidade principal em Louisiana está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ???????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki Louisiana on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
italian_neworleans_title;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;La Città di Nuova Crotone;?? ????? ?? ????? ???????;La Città di Nuova Crotone;x
italian_neworleans_desc;The main city in Louisiana is under our control. Shouldn't it have the correct name?;La principale ville de Louisiane est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von Louisiana steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Luizjanie jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal de Louisiana está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale della Louisiana è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Louisiane je pod naší kontrolou. By to nemelo mít správný název?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in Louisiana is onder onze controle. Mocht het niet de juiste naam?;A cidade principal em Louisiana está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ???????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki Louisiana on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
arab_neworleans_title;Jadid al-Baghdad;Jadid al-Baghdad;Jadid al-Bagdad;Jadid al-Bagdad;Jadid al-Baghdad;Jadid al-Baghdad;Jadid al-Bagdad;Jadid al-Bagdád;Jadid al-Bagdad;Jadid al-Bagdad;Jadid al-Baghdad;???? ???-??????????;Jadid al-Bagdad;x
arab_neworleans_desc;The main city in Louisiana is under our control. Shouldn't it have the correct name?;La principale ville de Louisiane est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von Louisiana steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Luizjanie jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal de Louisiana está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale della Louisiana è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Louisiane je pod naší kontrolou. By to nemelo mít správný název?;A város fo Louisiana ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in Louisiana is onder onze controle. Mocht het niet de juiste naam?;A cidade principal em Louisiana está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ???????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki Louisiana on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
postcol_QUE_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_QUE_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_COL_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_COL_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_NEW_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_NEW_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_CAN_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_CAN_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_NEN_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_NEN_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_MAN_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_MAN_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_TEX_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_TEX_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_USA_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_USA_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_CAL_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_CAL_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_CUB_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_CUB_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_HAI_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
